full,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,ppm,team_rank
Lucas Digne,Everton,8,16,646,9,1111.9999999999995,5358,7229,49,0,214.99999999999997,743.0,3031,1,0,0,0,741,0,43119921,41,59,293,120,-703673,1549566,2253239,222.20000000000002,19.0,6,20.618709260119083,3.0
Jordan Pickford,Everton,0,5,626,9,13.0,5624,7229,56,0,76.7,755.5999999999999,3420,0,0,0,0,741,94,21427716,41,59,0,117,-241459,532926,774385,204.09999999999997,19.0,2,21.84250323401266,4.0
Gylfi Sigurdsson,Everton,4,7,397,6,765.1,5738,7229,45,2,170.5,454.60000000000014,2555,0,0,0,0,741,0,9736482,41,59,484,95,-683482,154238,837720,282.90000000000026,19.0,3,12.768603410865182,5.0
Michael Keane,Everton,0,9,490,7,80.0,5434,7229,42,2,95.2,666.4,2556,1,0,0,0,741,0,6620752,41,59,204,90,-53965,206374,260339,202.49999999999983,19.0,3,16.92031099578268,6.0
Yerry Mina,Everton,1,8,419,5,87.19999999999997,5396,7229,37,2,104.39999999999999,535.3999999999999,2281,1,0,0,0,741,0,6879813,41,59,422,78,-31335,422143,453478,203.90000000000015,19.0,3,14.534831695209052,7.0
Djibril Sidib?,Everton,4,10,386,5,341.50000000000006,19418,7229,30,0,92.5,462.99999999999994,1818,0,0,0,0,741,0,1968052,41,59,121,74,20700,248018,227318,199.69999999999996,19.0,3,14.044293931086381,8.0
Bernard An?cio Caldeira Duarte,Everton,2,6,237,9,349.1000000000001,5776,7229,12,3,89.80000000000001,314.9999999999999,1269,0,0,0,0,741,0,2261401,41,59,236,72,-17603,204316,221919,244.40000000000015,19.0,2,11.18269230769231,9.0
Mason Holgate,Everton,4,6,412,5,63.89999999999999,18164,7229,34,0,68.30000000000003,465.4000000000001,2052,0,0,0,0,741,0,3145806,41,59,152,71,107022,428261,321239,167.2000000000001,19.0,5,16.185576697204592,10.0
Theo Walcott,Everton,4,1,186,4,289.09999999999997,5814,7229,19,2,103.7,224.99999999999997,1281,0,0,0,0,741,0,1199025,41,59,521,63,-36748,25959,62707,236.89999999999984,19.0,1,10.14112533971405,11.0
Tom Davies,Everton,1,3,233,5,122.59999999999995,5852,7229,34,1,65.5,270.40000000000003,2020,0,0,0,0,741,0,384541,41,59,262,59,-3211,16197,19408,202.30000000000013,19.0,8,11.12521440823329,12.0
Seamus Coleman,Everton,1,2,325,5,149.00000000000003,5472,7229,29,0,64.6,321.20000000000005,1833,0,0,0,1,741,0,4403060,41,59,175,55,-144382,129679,274061,203.30000000000013,19.0,3,10.240264278000122,13.0
Moise Kean,Everton,2,5,138,1,136.49999999999997,18848,7229,15,2,71.1,153.6,830,0,0,0,0,741,0,5072934,41,59,429,53,-367541,90567,458108,246.1000000000002,19.0,1,8.19203974384673,14.0
Alex Iwobi,Everton,0,2,227,4,383.7000000000001,646,7229,30,1,95.89999999999999,246.40000000000003,1591,0,0,0,0,741,0,3281323,41,59,329,52,-106792,137649,244441,216.49999999999986,19.0,0,9.066430688058551,15.0
Andr? Filipe Tavares Gomes,Everton,1,3,184,5,179.39999999999998,16036,7229,20,0,36.4,156.60000000000002,1457,0,0,0,0,741,0,1056896,41,59,33,39,-54947,18459,73406,200.19999999999982,19.0,6,7.421764817991235,16.0
Fabian Delph,Everton,0,2,202,2,146.7,7790,7229,24,0,35.400000000000006,183.0,1187,0,0,0,1,741,0,560211,41,59,24,24,-18210,13736,31946,203.00000000000014,19.0,3,4.507337526205446,17.0
Morgan Schneiderlin,Everton,0,0,132,1,78.49999999999999,6004,7229,20,0,25.5,143.2,998,0,0,0,1,741,0,1920695,41,59,32,18,-49552,39063,88615,168.20000000000013,19.0,4,4.0555555555555545,18.0
Anthony Gordon,Everton,1,1,63,0,98.4,15147,6636,6,0,21.8,76.0,436,0,0,0,0,675,0,99463,30,42,44,17,6387,14331,7944,121.5,13.0,0,3.7777777777777715,19.0
Leighton Baines,Everton,1,0,89,0,123.8,5510,7229,8,0,21.2,81.80000000000001,400,0,0,0,0,741,0,443810,41,59,5,14,-1405,17120,18525,186.40000000000012,19.0,0,2.857142857142859,20.0
Cenk Tosun,Everton,0,0,41,1,48.800000000000004,4088,4628,4,1,25.300000000000004,42.4,288,0,0,0,0,476,0,241487,30,42,163,12,-8974,6765,15708,160.7,14.0,0,2.102238354506956,21.0
Jarrad Branthwaite,Everton,0,2,69,1,2.2,5733,3029,6,0,6.9,66.0,299,0,0,0,0,306,0,73594,8,9,0,11,26429,28273,1844,36.0,5.0,0,2.75,22.0
Jean-Philippe Gbamin,Everton,0,0,14,1,6.3,18886,7229,0,0,2.6,20.0,135,0,0,0,0,741,0,98632,41,59,0,4,-4450,2805,7255,183.60000000000008,19.0,0,0.8,23.0
Oumar Niasse,Everton,0,0,1,0,1.8,13110,6110,2,0,0.8999999999999999,7.0,19,0,0,0,0,621,0,56516,23,34,0,3,969,5072,4103,103.5,12.0,0,0.666666666666666,24.0
Jamie Vardy,Leicester,7,34,775,11,418.40000000000003,6308,7226,38,23,288.79999999999995,1026.0000000000005,3032,0,1,0,0,741,0,85006210,49,59,1455,210,977604,5365903,4388299,364.49999999999994,19.0,3,22.197726459466303,1.0
Kasper Schmeichel,Leicester,0,10,707,13,30.0,6384,7226,41,0,89.60000000000001,863.4000000000003,3420,0,0,2,0,741,97,32996600,49,59,2,156,387137,1426014,1038877,200.20000000000013,19.0,2,29.69301932498379,2.0
Harvey Barnes,Leicester,10,9,394,9,517.4,6536,7226,24,6,193.70000000000002,525.0000000000001,2075,0,0,0,0,741,0,3932368,49,59,893,133,36258,637429,601171,226.00000000000006,19.0,0,22.336376602366478,3.0
Ayoze P?rez,Leicester,5,9,402,9,443.9,10070,7226,25,8,177.3,547.4000000000001,1998,0,0,0,0,741,0,17553566,49,59,779,129,-613132,1308730,1921862,233.3999999999999,19.0,0,21.198335740145616,4.0
Jonny Evans,Leicester,2,12,707,13,131.9,6156,7226,41,1,121.39999999999999,755.2000000000003,3384,1,0,0,1,741,0,12339554,49,59,325,128,297220,898058,600838,196.30000000000004,19.0,7,24.956205355872385,5.0
James Maddison,Leicester,5,14,548,10,1246.4,6498,7226,26,6,259.2,642.4,2624,0,0,0,0,741,0,50124623,49,59,702,125,173698,3212993,3039295,281.8,19.0,4,16.920135896400406,6.0
Ricardo Domingos Barbosa Pereira,Leicester,2,11,568,10,446.50000000000006,6042,7226,27,3,141.89999999999998,738.0,2520,0,0,0,0,741,0,31155925,49,59,235,123,134337,1575795,1441458,238.00000000000009,19.0,1,19.767558288925944,7.0
?aglar S?y?nc?,Leicester,1,12,681,12,78.99999999999999,6232,7226,35,1,107.5,755.5999999999999,3036,0,0,0,1,741,0,36189093,49,59,238,120,531662,2514939,1983277,185.29999999999998,19.0,4,24.903881725369757,8.0
Youri Tielemans,Leicester,6,5,531,12,805.3999999999999,17024,7226,35,3,187.59999999999997,566.5999999999999,2823,0,0,0,0,741,0,15057552,49,59,502,117,-131328,953608,1084936,241.2999999999999,19.0,2,18.404498180361315,9.0
Benjamin Chilwell,Leicester,3,8,501,9,545.4000000000001,6118,7226,26,3,130.0,546.0,2374,0,0,0,0,741,0,24000600,49,59,208,114,44243,1471827,1427584,212.59999999999997,19.0,3,20.53162650662574,10.0
Wilfred Ndidi,Leicester,1,5,443,12,254.4,6688,7226,32,2,107.19999999999999,611.6,2671,0,0,0,0,741,0,6416573,49,59,205,85,-19748,405969,425717,190.0,19.0,6,16.999999999999996,11.0
Kelechi Iheanacho,Leicester,4,7,204,3,204.20000000000005,6346,7226,9,5,109.40000000000002,288.19999999999993,953,0,0,0,0,741,0,957602,49,59,603,64,1283,92595,91312,217.89999999999986,19.0,1,11.228070175438603,12.0
Dennis Praet,Leicester,3,3,203,2,161.60000000000002,19646,7226,17,1,56.5,196.19999999999996,1122,0,0,0,0,741,0,197631,49,59,210,54,-2862,10534,13396,201.79999999999998,19.0,2,10.18274422991404,13.0
Demarai Gray,Leicester,4,0,151,1,242.3,6650,7226,6,2,70.80000000000001,205.4,605,0,1,0,0,741,0,795897,49,59,263,44,-23599,18088,41687,195.79999999999993,19.0,1,8.631313418771795,14.0
Marc Albrighton,Leicester,3,1,185,3,287.9000000000001,6612,7226,11,0,58.099999999999994,190.59999999999997,857,0,0,0,0,741,0,502907,49,59,102,38,-13316,11181,24497,198.19999999999993,19.0,2,7.344547095934442,15.0
Hamza Choudhury,Leicester,1,0,153,3,70.00000000000001,6840,7226,12,1,33.1,177.59999999999997,883,0,0,0,1,741,0,2349613,49,59,83,35,-1116,151837,152953,166.10000000000002,19.0,2,8.00062082620222,16.0
James Justin,Leicester,1,0,196,4,195.00000000000006,16454,7226,14,0,49.6,240.60000000000002,1010,1,0,0,0,741,0,586055,49,59,61,35,31721,79579,47858,182.09999999999982,19.0,1,7.415780141843966,16.0
Christian Fuchs,Leicester,0,2,139,2,53.5,6194,7226,10,0,21.799999999999997,144.39999999999998,770,0,0,0,0,741,0,1025088,49,59,20,26,-10813,31976,42789,163.99999999999986,19.0,0,6.016980435585084,18.0
Wes Morgan,Leicester,0,2,87,1,2.1,6270,7226,6,0,14.5,85.8,430,0,0,0,0,741,0,1959131,49,59,58,19,-55898,40279,96177,158.9999999999999,19.0,0,4.594557928363937,19.0
Luke Thomas,Leicester,1,3,70,1,149.8,1980,1100,4,0,23.9,78.4,267,0,0,0,0,111,0,133416,2,5,10,15,60990,67013,6023,12.0,2.0,0,3.75,20.0
Nampalys Mendy,Leicester,0,0,71,1,51.8,6802,7226,3,0,11.8,57.4,288,0,0,0,0,741,0,2378527,49,59,9,11,-21067,101966,123033,165.20000000000005,19.0,0,2.5478036175710588,21.0
Ryan Bennett,Leicester,0,2,66,1,7.300000000000001,6060,4579,8,0,5.5,47.8,329,0,0,0,0,465,0,321155,10,27,0,11,-1609,2504,4014,72.09999999999998,8.0,0,2.29166666666667,21.0
George Hirst,Leicester,0,0,3,0,0.6,1983,1100,1,0,2.6,3.2,9,0,0,0,0,111,0,201,2,5,25,2,89,141,52,13.5,2.0,0,0.444444444444444,23.0
Matty James,Leicester,0,0,3,0,0.1,6726,7226,0,0,0.1,0.4,5,0,0,0,0,741,0,478120,49,59,0,1,-12384,15531,27915,164.90000000000003,19.0,0,0.232558139534884,24.0
Mohamed Salah,Liverpool,10,26,661,16,834.7999999999997,7258,7225,26,19,405.1,1061.2,2879,0,0,0,0,747,0,91794534,49,69,2156,233,-188660,4065747,4254407,474.00000000000006,19.0,1,18.687365145299413,1.0
Sadio Man?,Liverpool,10,27,689,12,826.6000000000001,7296,7225,28,18,307.69999999999993,1010.2000000000002,2745,0,0,0,0,747,0,77504230,49,69,1239,221,816955,4521162,3704207,459.79999999999984,19.0,3,18.365176437989458,2.0
Trent Alexander-Arnold,Liverpool,15,24,904,14,1380.3,6916,7225,32,4,282.79999999999995,1026.8000000000002,3173,0,0,0,0,747,0,96056828,49,69,420,210,1348300,3215101,1866801,282.20000000000005,19.0,5,28.36956408572521,3.0
Andrew Robertson,Liverpool,12,20,847,13,980.1999999999999,6878,7225,31,2,221.7,845.8,3111,0,0,0,0,747,0,55667478,49,69,389,181,-541494,1665515,2207009,265.4,19.0,2,25.946636339777807,4.0
Virgil van Dijk,Liverpool,2,14,804,15,152.39999999999998,6954,7225,33,5,154.79999999999998,930.2,3420,0,0,0,0,747,0,119071233,49,69,467,178,-391185,2305920,2697105,245.90000000000006,19.0,1,27.567817599067595,5.0
Roberto Firmino,Liverpool,9,20,592,16,703.0,7106,7225,26,9,307.5,733.6000000000001,2985,0,0,0,0,747,0,33194321,49,69,1638,155,376055,2557629,2181574,359.49999999999994,19.0,0,16.418129615554413,6.0
Alisson Ramses Becker,Liverpool,1,11,558,13,10.0,7182,7225,24,0,51.5,503.00000000000006,2543,0,0,0,1,747,58,25028207,49,69,0,122,-1123065,918190,2041255,229.09999999999985,19.0,0,20.08683570179704,7.0
Jordan Henderson,Liverpool,5,11,530,16,425.90000000000003,7524,7225,14,4,128.5,582.6,2234,0,0,0,0,747,0,3409462,49,69,275,116,16912,385303,368391,204.8000000000001,19.0,2,21.483641445905604,8.0
Georginio Wijnaldum,Liverpool,0,5,503,12,344.1000000000001,7562,7225,28,4,121.99999999999997,452.79999999999995,2933,0,0,0,0,747,0,6462802,49,69,423,107,2852,365620,362768,205.80000000000013,19.0,0,19.767676767676768,9.0
Joseph Gomez,Liverpool,0,7,461,12,105.69999999999997,6992,7225,16,0,50.9,390.59999999999997,1999,0,0,0,0,747,0,7309929,49,69,12,93,218625,753642,535017,199.50000000000014,19.0,7,17.864845845977893,10.0
Fabio Henrique Tavares,Liverpool,3,8,403,6,322.4,7486,7225,26,2,83.99999999999999,431.6,2073,0,0,0,0,747,0,3257180,49,69,85,77,-14368,157466,171834,206.90000000000012,19.0,6,14.15151515151515,11.0
Alex Oxlade-Chamberlain,Liverpool,1,2,268,8,298.2,7334,7225,12,4,99.89999999999998,300.0,1475,1,0,0,0,747,0,1441596,49,69,406,76,10857,141399,130542,236.39999999999986,19.0,1,12.275653011275688,12.0
Divock Origi,Liverpool,3,8,230,2,128.79999999999998,7144,7225,12,4,55.000000000000014,201.79999999999998,699,0,0,0,0,747,0,8123461,49,69,222,65,-178030,451364,629394,198.99999999999991,19.0,1,12.377425704562208,13.0
Naby Keita,Liverpool,3,3,224,5,234.70000000000002,7448,7225,8,2,68.7,281.79999999999995,806,0,0,0,0,747,0,735735,49,69,169,52,-16891,58335,75226,221.00000000000014,19.0,1,8.965517241379317,14.0
James Milner,Liverpool,2,3,198,4,177.09999999999997,7600,7225,9,2,51.40000000000001,237.2,924,0,0,0,0,747,0,1587786,49,69,100,49,-36219,43758,79977,202.5000000000001,19.0,4,9.183406390953566,15.0
Joel Matip,Liverpool,0,4,167,3,23.000000000000004,7030,7225,5,1,26.2,198.20000000000002,703,0,0,0,0,747,0,4954968,49,69,39,39,-45794,449791,495585,200.99999999999986,19.0,0,7.221574721574723,16.0
Adam Lallana,Liverpool,1,1,97,1,68.8,7410,7225,5,1,25.1,107.20000000000002,371,0,0,0,0,747,0,331641,49,69,74,27,-4467,6820,11287,219.89999999999986,19.0,1,4.658299752888944,17.0
Adri?n San Miguel del Castillo,Liverpool,0,0,136,2,0.0,19988,7225,10,0,13.2,131.4,873,0,0,0,0,747,18,7926406,49,69,0,27,25536,677274,651738,160.29999999999998,19.0,1,6.034161490683226,17.0
Dejan Lovren,Liverpool,1,0,147,0,28.1,7068,7225,11,0,29.799999999999997,196.6,776,0,0,0,0,747,0,713277,49,69,72,18,-2712,53403,56115,202.0000000000001,19.0,1,3.396226415094341,19.0
Xherdan Shaqiri,Liverpool,0,0,54,1,51.599999999999994,7372,7225,2,1,13.7,47.8,181,0,0,0,0,747,0,703188,49,69,37,15,-21005,9666,30671,240.00000000000014,19.0,0,2.3784722222222223,20.0
Neco Williams,Liverpool,0,3,53,1,53.30000000000001,12650,5953,2,0,20.0,49.4,228,0,0,0,0,611,0,209046,24,40,98,14,24811,42401,17590,88.0,11.0,1,3.5,21.0
Curtis Jones,Liverpool,0,0,46,1,15.600000000000001,13087,6105,1,1,12.899999999999999,49.4,121,0,0,0,0,627,0,21608,27,40,65,13,2874,5080,2206,103.5,11.0,0,2.888888888888885,22.0
Takumi Minamino,Liverpool,0,0,20,0,29.9,10620,5203,2,0,12.700000000000001,17.4,241,0,0,0,0,534,0,95608,20,35,85,11,1897,24343,22446,110.9,8.0,0,1.8223822016736948,23.0
Harvey Elliott,Liverpool,0,0,6,0,1.7,17050,6984,0,0,0.4,1.8,7,0,0,0,0,719,0,23785,38,57,0,2,545,2410,1865,139.5,16.0,0,0.444444444444444,24.0
Kevin De Bruyne,Man City,23,35,988,18,1990.7999999999995,8170,7240,22,13,432.09999999999997,1322.2000000000003,2790,0,0,0,0,743,0,119365456,58,79,1005,251,2922464,6495820,3573356,393.1,19.0,3,24.40154130733841,1.0
Raheem Sterling,Man City,6,20,642,13,751.3,8132,7240,31,20,350.2,921.5999999999998,2651,0,2,0,0,743,0,72741844,58,79,1829,204,-477027,3212394,3689421,452.1999999999999,19.0,5,17.15712200226754,2.0
Riyad Mahrez,Man City,14,17,668,10,885.8000000000001,8246,7240,15,11,279.50000000000006,814.2,1934,0,0,0,0,743,0,18347509,58,79,1094,175,569058,2750563,2181505,321.8000000000002,19.0,0,20.69977702484747,3.0
Gabriel Fernando de Jesus,Man City,8,17,535,12,447.7,8018,7240,14,14,282.1,757.5999999999998,2018,0,1,0,0,743,0,8686615,58,79,1620,146,395135,1268818,873683,363.4000000000001,19.0,3,15.223542326383207,4.0
David Silva,Man City,12,15,549,11,735.8,8322,7240,15,6,231.20000000000002,639.6,1821,0,0,0,0,743,0,17425716,58,79,937,139,306805,1891110,1584305,283.5000000000001,19.0,0,18.662060286862015,5.0
Ederson Santana de Moraes,Man City,0,2,645,16,16.0,8056,7240,31,0,62.29999999999999,608.6,3071,0,0,0,1,743,68,42141110,58,79,0,133,-306415,1374823,1681238,229.2,19.0,3,22.043715846994544,6.0
Sergio Ag?ero,Man City,6,14,509,5,256.40000000000003,7980,7240,18,16,208.20000000000002,641.1999999999998,1449,0,1,0,0,743,0,48884130,58,79,1188,132,315769,3937443,3621674,451.5,19.0,1,11.0732624799203,7.0
Bernardo Mota Veiga de Carvalho e Silva,Man City,7,7,526,9,773.1999999999998,8284,7240,24,6,232.49999999999994,626.2000000000002,2021,0,0,0,0,743,0,29458177,58,79,927,116,-1087144,1130606,2217750,297.1000000000002,19.0,5,14.862984173277317,8.0
Kyle Walker,Man City,4,7,573,12,394.40000000000003,7714,7240,24,1,100.09999999999998,435.6,2392,0,0,0,0,743,0,36637989,58,79,169,114,-291597,1280318,1571915,219.99999999999986,19.0,5,19.769254741177896,9.0
Rodrigo Hernandez,Man City,2,5,516,14,532.6,16834,7240,27,3,132.29999999999998,599.1999999999999,2480,0,0,0,0,743,0,3507688,58,79,193,92,-41575,265261,306836,206.00000000000014,19.0,8,16.981322660567933,10.0
Nicol?s Otamendi,Man City,1,6,389,7,65.49999999999999,7904,7240,21,2,82.69999999999997,443.59999999999997,1710,0,0,0,0,743,0,8079616,58,79,319,82,64905,915070,850165,194.20000000000007,19.0,3,16.085747531335766,11.0
Benjamin Mendy,Man City,2,3,378,9,403.19999999999993,7752,7240,13,0,75.5,243.0,1491,0,0,0,0,743,0,2682194,58,79,106,74,89408,427439,338031,215.09999999999997,19.0,3,13.269110558661133,12.0
Phil Foden,Man City,2,4,261,4,301.6,8360,7240,7,5,108.10000000000001,312.20000000000005,888,0,0,0,0,743,0,3542004,58,79,466,69,398569,704320,305751,198.39999999999992,19.0,0,13.247388509874623,13.0
Ilkay G?ndogan,Man City,1,4,382,7,592.3000000000001,8436,7240,28,2,137.50000000000003,408.40000000000003,2012,0,1,0,0,743,0,3919275,58,79,374,65,-113481,151550,265031,198.49999999999991,19.0,7,12.465740963521203,14.0
Aymeric Laporte,Man City,0,0,298,8,62.20000000000002,7676,7240,5,1,38.7,246.8,1096,0,0,0,0,743,0,8519583,58,79,79,63,-177299,564124,741423,240.40000000000015,19.0,1,9.956043956043949,15.0
Fernando Luiz Rosa,Man City,1,1,401,10,146.19999999999996,8398,7240,27,0,87.9,557.6,2394,1,0,0,2,743,0,1912514,58,79,175,55,-41497,56916,98413,197.69999999999996,19.0,7,10.596630524488457,16.0
Oleksandr Zinchenko,Man City,0,1,295,6,375.80000000000007,7828,7240,15,0,71.2,232.00000000000006,1271,0,0,0,1,743,0,12249531,58,79,102,49,-547991,629524,1177515,200.79999999999987,19.0,0,9.23101898101897,17.0
Jo?o Pedro Cavaco Cancelo,Man City,0,3,299,5,287.6,19684,7240,11,0,69.29999999999998,264.99999999999994,1205,0,0,0,0,743,0,2551234,58,79,141,45,-52891,137637,190528,199.59999999999988,19.0,4,8.649965318111814,18.0
Eric Garcia,Man City,0,0,189,5,42.199999999999996,17952,7111,7,0,22.200000000000003,153.0,790,0,0,0,0,728,0,384067,46,69,26,38,71081,99815,28734,148.5,17.0,1,8.444444444444425,19.0
John Stones,Man City,0,0,231,3,53.0,7866,7240,16,0,33.7,216.40000000000003,1118,0,0,0,0,743,0,3471914,58,79,66,34,-167963,116083,284046,202.40000000000012,19.0,0,6.370433898735781,20.0
Claudio Bravo,Man City,0,0,69,1,0.0,8094,7240,7,0,5.800000000000001,57.8,346,0,0,0,0,743,8,835954,58,79,0,11,-13611,23827,37438,181.89999999999984,19.0,0,2.291666666666667,21.0
Jos? ?ngel Esmor?s Tasende,Man City,1,1,94,0,164.0,16720,7240,7,0,31.599999999999998,92.60000000000001,422,0,0,0,0,743,0,486355,58,79,58,11,-11105,18959,30064,178.7,19.0,1,2.340425531914894,21.0
Leroy San?,Man City,0,0,2,0,1.1,8208,7240,0,0,1.0,0.0,11,0,0,0,0,743,0,733417,58,79,11,1,-24935,32636,57571,352.4000000000003,19.0,0,0.10752688172043,23.0
Tommy Doyle,Man City,0,0,3,0,2.0,5152,2730,0,0,1.3,3.8,15,0,0,0,0,276,0,804,11,19,7,1,90,182,92,36.0,4.0,0,0.222222222222222,23.0
Anthony Martial,Man Utd,9,14,544,14,439.29999999999995,9082,7250,27,17,259.4,855.6000000000001,2625,0,1,0,0,741,0,30963124,43,59,1297,200,1087480,4241573,3154093,298.40000000000003,19.0,1,25.252346342917615,1.0
Marcus Rashford,Man Utd,8,31,665,9,563.6999999999999,8854,7250,29,17,271.7,887.0,2645,0,2,0,0,741,0,49656655,43,59,1265,177,-100511,4285744,4386255,334.7,19.0,3,20.207720478912083,2.0
David de Gea,Man Utd,0,8,630,13,0.0,8930,7250,36,0,69.20000000000002,694.9999999999999,3420,0,0,0,0,741,95,36666958,43,59,0,143,-237940,1040059,1277999,207.00000000000014,19.0,2,26.341061105212045,3.0
Aaron Wan-Bissaka,Man Utd,4,16,659,12,443.3,4636,7250,33,0,132.79999999999998,749.2,3070,0,0,0,0,741,0,50375877,43,59,133,127,-938920,1578514,2517434,205.10000000000008,19.0,8,23.6390182144899,4.0
Harry Maguire,Man Utd,0,5,681,13,214.59999999999994,6080,7250,36,1,136.20000000000002,772.0000000000001,3420,0,0,0,0,741,0,33449396,43,59,371,123,-483380,830335,1313715,202.50000000000006,19.0,6,23.198792472377345,5.0
Bruno Miguel Borges Fernandes,Man Utd,8,18,366,9,479.29999999999995,8652,4342,6,8,139.2,551.8000000000001,1187,0,0,0,0,441,0,19670120,19,18,361,117,1877477,2409461,531984,120.5,7.0,2,13.60958383302959,6.0
Victor Lindel?f,Man Utd,0,9,618,12,73.60000000000002,8550,7250,32,1,70.70000000000002,553.9999999999998,3092,1,0,0,0,741,0,3279731,43,59,79,116,-30297,104939,135236,203.0000000000001,19.0,6,21.75528873642079,7.0
Mason Greenwood,Man Utd,1,17,430,6,222.7,8892,7250,13,10,117.0,449.6,1303,0,0,0,0,741,0,38394260,43,59,502,103,888246,3120765,2232519,168.00000000000003,19.0,0,23.25841533721065,8.0
Daniel James,Man Utd,6,2,308,7,428.1000000000001,9234,7250,29,3,145.99999999999997,415.2,2281,0,0,0,0,741,0,22456316,43,59,622,95,56749,1843586,1786837,228.00000000000006,19.0,4,15.718547427756201,9.0
Scott McTominay,Man Utd,2,6,310,3,238.39999999999998,9424,7250,20,3,96.4,415.6000000000001,1765,0,0,0,0,741,0,4283977,43,59,310,74,-13842,422330,436172,188.90000000000006,19.0,2,14.844237695078032,10.0
Luke Shaw,Man Utd,0,2,381,8,321.2,8588,7250,15,0,85.09999999999998,344.2,1730,0,0,0,0,741,0,2165132,43,59,187,67,-90646,77377,168023,205.60000000000014,19.0,7,12.377104377104382,11.0
Andreas Pereira,Man Utd,3,1,198,6,432.1,9348,7250,16,1,102.3,245.59999999999997,1478,0,0,0,0,741,0,1345436,43,59,343,60,-7340,128439,135779,187.00000000000014,19.0,3,12.102380952380955,12.0
Nemanja Matic,Man Utd,2,2,287,10,250.3,9386,7250,13,0,66.19999999999999,357.4,1578,0,0,0,0,741,0,1015516,43,59,53,55,-23309,27969,51278,183.00000000000009,19.0,2,11.454081632653063,13.0
Brandon Williams,Man Utd,1,3,228,5,191.20000000000002,17568,7052,11,1,49.20000000000001,199.99999999999997,1003,0,0,0,0,720,0,6477238,39,49,100,51,221043,744796,523753,129.2,16.0,6,12.7637750567789,14.0
Paul Pogba,Man Utd,4,2,215,6,420.00000000000006,9044,7250,9,1,90.99999999999999,295.8,1202,0,1,0,0,741,0,10865723,43,59,193,51,-325705,546530,872235,318.5000000000002,19.0,1,6.096515826840676,14.0
Frederico Rodrigues de Paula Santos,Man Utd,0,0,358,6,542.6999999999999,9272,7250,26,0,123.49999999999999,430.5999999999999,2157,0,0,0,0,741,0,612279,43,59,260,50,-1039,38526,39565,200.79999999999998,19.0,8,9.44498989726515,16.0
Juan Mata,Man Utd,2,2,139,4,293.9,9196,7250,8,0,53.4,109.2,747,0,0,0,0,741,0,993588,43,59,130,38,-18627,26333,44960,236.59999999999985,19.0,1,6.076469378277285,17.0
Jesse Lingard,Man Utd,0,0,99,1,278.2,9158,7250,14,1,68.19999999999999,109.0,923,0,0,0,0,741,0,2325247,43,59,297,32,-64912,63833,128745,240.70000000000016,19.0,3,5.045100732600734,18.0
Ashley Young,Man Utd,0,0,158,2,316.59999999999997,8512,7250,10,0,49.09999999999999,155.6,953,0,0,0,0,741,0,916382,43,59,18,24,-20055,21424,41479,205.40000000000012,19.0,5,4.444444444444441,19.0
Odion Ighalo,Man Utd,0,0,24,0,23.8,8112,4096,0,0,18.1,23.0,92,0,0,0,0,416,0,460157,19,18,135,11,12103,98171,86068,81.30000000000001,6.0,0,1.74841872761854,20.0
Eric Bailly,Man Utd,0,0,40,1,1.0,8664,7250,1,0,3.3000000000000003,32.0,148,0,0,0,0,741,0,151173,43,59,0,9,312,11749,11437,185.80000000000013,19.0,0,1.8409863945578255,21.0
Axel Tuanzebe,Man Utd,0,0,30,0,6.199999999999999,18278,7250,3,0,2.4000000000000004,17.599999999999998,187,0,0,0,0,741,0,317841,43,59,0,7,-5627,8119,13746,167.40000000000012,19.0,0,1.590909090909091,22.0
Timothy Fosu-Mensah,Man Utd,0,0,27,1,28.6,1974,1095,1,0,4.199999999999999,12.0,136,0,0,0,0,111,0,8316,5,1,6,7,3144,4184,1040,13.5,1.0,1,1.5555555555555518,22.0
Jos? Diogo Dalot Teixeira,Man Utd,0,0,10,0,4.3,8702,7250,1,0,1.9000000000000001,10.4,65,0,0,0,0,741,0,252936,43,59,6,4,-9390,2211,11601,186.30000000000013,19.0,0,0.816326530612244,24.0
Marcos Rojo,Man Utd,0,0,9,0,1.9000000000000001,8626,7250,2,0,2.8,20.200000000000003,121,0,0,0,0,741,0,365013,43,59,6,3,-7338,4863,12201,183.10000000000008,19.0,1,0.6250000000000001,25.0
Tahith Chong,Man Utd,0,0,6,0,1.1,9462,7250,0,0,0.7,1.4,34,0,0,0,0,741,0,1640748,43,59,6,3,5299,99051,93752,164.89999999999998,19.0,0,0.687103594080338,25.0
Angel Gomes,Man Utd,0,0,7,0,24.8,9310,7250,1,0,3.1,4.2,19,0,0,0,0,741,0,257458,43,59,2,2,-5695,6183,11878,182.39999999999986,19.0,0,0.41241496598639404,27.0
Phil Jones,Man Utd,0,0,22,0,3.0,8778,7250,3,0,4.7,21.4,135,0,0,0,0,741,0,410566,43,59,23,2,-9011,5213,14224,182.19999999999987,19.0,0,0.416666666666666,27.0
