full,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,ppm,team_rank
Steven Alzate,Brighton,0,0,183,3,214.10000000000002,18258,7111,18,0,62.3,201.99999999999997,1181,0,0,0,0,731,0,202205,40,42,205,33,4768,21516,16748,152.70000000000002,17.0,1,7.333333333333329,17.0
Alireza Jahanbakhsh,Brighton,1,2,90,1,62.5,1900,7191,4,2,25.9,90.6,305,0,0,0,0,741,0,245199,46,47,106,28,-2871,12814,15685,221.00000000000014,19.0,0,4.82758620689656,18.0
Tariq Lamptey,Brighton,1,0,128,3,82.1,8790,4574,8,0,20.2,91.80000000000001,588,0,0,0,0,465,0,604875,23,13,27,25,106657,130320,23342,60.2,7.0,2,6.201219512195121,19.0
Bernardo Fernandes da Silva Junior,Brighton,0,3,121,1,72.6,1482,7191,17,0,31.9,154.0,675,0,0,0,0,741,0,306023,46,47,92,21,-5481,8293,13774,164.60000000000002,19.0,1,4.863049095607237,20.0
Alexis Mac Allister,Brighton,0,0,35,0,73.80000000000001,7524,3839,6,0,16.9,28.4,348,0,0,0,0,390,0,10778,18,6,66,12,470,1570,1100,65.8,6.0,0,2.191919191919193,21.0
Ezequiel Schelotto,Brighton,0,0,40,0,12.7,17472,7010,7,0,11.4,38.4,357,0,0,0,0,720,0,1101576,39,41,65,9,36451,101504,65053,127.9,16.0,2,2.25,22.0
Florin Andone,Brighton,0,1,20,0,11.3,1748,7191,2,1,7.6000000000000005,45.0,71,0,0,0,1,741,0,1421103,46,47,21,5,-37176,160423,197599,182.19999999999985,19.0,0,0.9999999999999999,23.0
Ga?tan Bong,Brighton,0,0,15,0,27.900000000000002,1558,7191,3,0,4.999999999999999,16.0,57,0,0,0,0,741,0,299442,46,47,6,3,-6254,2461,8715,163.29999999999987,19.0,0,0.6818181818181811,24.0
J?rgen Locadia,Brighton,0,0,5,1,1.3,1710,7191,1,0,3.3,3.2,85,0,0,0,0,741,0,276692,46,47,30,3,-17061,6909,23970,199.09999999999988,19.0,0,0.545454545454546,24.0
Nick Pope,Burnley,0,23,789,15,30.3,3534,7176,50,0,93.10000000000001,899.9999999999999,3420,0,0,1,0,741,120,42254341,42,51,2,170,1142056,2341163,1199107,180.10000000000005,19.0,1,35.9404302530804,1.0
James Tarkowski,Burnley,3,14,690,15,167.10000000000002,3192,7176,50,2,149.89999999999998,919.8000000000003,3420,0,0,0,0,741,0,9292171,42,51,410,143,553011,1025890,472879,193.99999999999986,19.0,10,28.039971041413853,2.0
Chris Wood,Burnley,1,21,384,11,299.59999999999997,3458,7176,33,14,190.79999999999998,552.1999999999999,2436,1,0,0,0,741,0,3182080,42,51,1070,136,45200,484102,438902,235.6999999999999,19.0,1,21.931258995279375,3.0
